ngoid,state,district,ngoname,orgemail,physicaladdress,officephone,orgtype,chairmanname
112, Jharkhand ,Dhanbad,Pahela Kadam Special School run by Narayani Charitable Trust,narayanicharitabletrust@gmail.com,"8, Saraidhela Roadnear Saraidhela Police Thana, Dhanbad - 826003", 9471-162439 , Niramaya,Smt. Anita Agarwal
113, Jharkhand ,Deoghar,Srijak Samuh,srijaksamuh@gmail.com,"Srijak Samuh, Williams Townrani Kothi, B. Deoghar,, Deoghar - 814112", 9431-063699 ,,Umashankar Kumar
114, Jharkhand ,Hazaribagh,Samajik Samasya Niwaran Ewam Kalyan Sansthan,ssneks@gmail.com,"300, Forest Colony, Hurhurunear Cemetery Gate, Hazaribag - 825301", 9431-796018 ,,Manish Kumar Sinha
115, Jharkhand ,Ranchi,Child Concern,childconcern.jharkhand@gmail.com,"1B, Shubh Gauri Enclave, Budh Vihar Colony,, Argora Bypass, Ashok Nagar, Harmu, Ranchiargora Bypass, Ranchi - 834002", 9472-162409 ,Badhte Kadam,Sugandh Narayan Prasad
116, Jharkhand ,Ranchi,Jharkhand Parent Association,koshishparent@gmail.com,"H-70, Argora Housing Colony, Ranchinear Argora Chaowk, Ranchi - 834002", 9934-523571 ,,Deepa Choudhary
117, Jharkhand ,Ramgarh,Bhawishya Kiran,jha_sanjeev1972@rediffmail.com,"Qno-B/6, Rescue Bhawan Colony, Naisarainear Damoder Pull, Ramgarh - 829122", 9431-535390 ,,Mala Jha
118, Jharkhand ,East Singhbhum,Parents Association Of Mentally Handicapped Of Jamshedpur,pamhj361@gmail.com,"Lions Club Of Jamshedpur Artificial Limb Fitting Centre(Lalfic), Sonarinear Carmel Junior College/Bal Vihar, Jamshedpur - 831011", 9431-372214 ,Prerna,P Babu Rao
119, Jharkhand ,Dhanbad,Jeevan,jeevan_ak@yahoo.co.in,"Jeevan, Bastacolla, Gaushallamoredhansar, Dhanbad, Dhanbad - 828106", 9934-352294 ,"Vikaas,Samarth,Badhte Kadam,Sahyogi",Anil Kumar Singh
120, Karnataka ,Bangalore Urban,Baldwin Opportunity School Of Baldwin Methodist Educational Society,baldwinoppschool@hotmail.com,"No.3,, 3, Rhenius Street, Richmond Townrichmond Town, Bangalore - 560025", 9845-389740 ,,Sajinie Gnanatheeban
121, Karnataka ,Devangere ,Spoorthy Organization for Education and Social Development,spoorthy.hnl@gmail.com,"Spoorthy, Urdu Schoolnear Urdu School, Nallur - 577221", 9448-976910 ,Disha,K B Roopa Naik
122, Karnataka ,Belgaum,Shri Doodnana Vikas Shikshan Sansthe,shridvss@gmail.com,"99, Shivalingeshwar Krupamahalingeshwar Nagar Falls Road, Gokak - 591307", 8095-388511 ,,Shrimanth Sadalagi
123, Karnataka ,Bangalore Urban,Tamahar Trust,tamahar@gmail.com,"#95,, 6Th Main, Between 13Th And 15Th Cross,Behind Renaissance Regalia, Bangalore - 560003", 9845-551209 ,,Vaishali B Pai
124, Karnataka ,Chikmagalur,Society for Peoples Integrated Development R,ddrcspidckm@gmail.com,".162, Prabhu Street, Near Thogarihucle Cercleopp Joseph Church, Chickamagaluru - 577101", 9448-008417 , Niramaya,Prakash K
125, Karnataka ,Bangalore Urban,Karnataka Parents Association for Mentally Retarded Citizens,kpamrc@gmail.com,"12, 3Rd Cross, 8Th Main, Byrasandra Layout, Jayanagar 1St Block East, Bangalore, Byrasandra Main Roadnear Nimhans, Banglore - 560011", 9845-462451 ,"Badhte Kadam,Gharaunda Niramaya",K R Venkatesha
126, Karnataka ,Bangalore Urban,The Association for the Mentally Challenged,amc.bangalore@gmail.com,"The Association For The Mentally Challenged, Near Kidwai Cancer Hospitaloff Hosur Road, Bangalore - 560029", 9845-325100 ,,Ms.Vanishree Manohar
127, Karnataka ,Bangalore Urban,Academy for the Severely Handicapped and Autistic Persons Charitable Trust,info@ashaforautism.com,"L-76/A, Hbcs 3Rd Stage, Kirloskar Colony4Th Block, Basaveshwaranagar, Bangalore - 560079", 9343-764415 ,,Mrs. Jayashree Ramesh
128, Karnataka ,Gulbarga,Vinayaka Educational Trust,vinayakaeducationaltrust131@gmail.com,"10-105/4, Sharan Nagar, Brahmpuropp N.V.School, Gulbarga - 585103", 9980-817060 ,,Shrimanth Revoor
129, Karnataka ,Bangalore Urban,Alfaa (Assisted Living for Autistic Adults),alfaa2010@gmail.com,"Pocket 3, C-506, Vasant Vihar,, Pocket 3, C-506, Vasant Vihar, Awho Colony, Vidhyanagarbillmarnahalli Main Road,, Bangalore - 562157", 9741-418103 ,Badhte Kadam Niramaya,Ruby Singh
130, Karnataka ,Bangalore Urban,Shristi Special Academy,shristiblr@gmail.com,"No.20, Jattipalya, Channenahalli 20Th Kmmagadi Road, Janaseva Vidya Kendra, Banglore - 562130", 9900-170959 , Niramaya,Suchita Somashekaraiah
131, Karnataka ,Chikballapur,Pragna Trust,nagaraj.n.gbd@gmail.com,"03, Bye-Pass Roadramalingeshwara Extension, Gowribidanur - 561208", 9972-009412 ,"Disha,Badhte Kadam",Vijayalakshmi S
132, Karnataka ,Bangalore Urban,Vikasa Special School for Mentally Challenged run by Vijayanagar Disabled Welfare Association Reg,vikasaspecialschool1997@gmail.com,"9Th Main, Rpc Layoutnear Vishwakarma Temple, Hampinagar, Vijayanagar - 560104", 9632-042317 ,,L . Yashoda
133, Karnataka ,Bagalkot,Bijapur Integrated Rural Development Society (Birds),birdshungund1990@rediffmail.com,"437/21, Mahantha Nagarward No-05, Hungund - 587118", 9448-117058 ,,Mahantesh Agasimundin
134, Karnataka ,Mysore,Aashianaa an Institute for Special Children,aashianaa6@gmail.com,"#520, 2Nd Stage, Old Mahadevpura Extensionudaygiri, Mysore - 570019", 9448-271109 ,,Siraj Asger Ali
135, Karnataka ,Koppal,Samuha,ns@samuha.org,"Samuha Campus, Vithalapur Road, Kanakagiri - 583283", 9448-385412 ,Disha Niramaya,Narayanaswamy M
136, Karnataka ,Dakshina Kannada,Chetana Child Development Centre Unit Of Seva Bharathi,chetanabharathi@gmail.com,"13-9-1207/4, V.T.Road, Kodailbailnear Venkataramana Temple, Mangalore - 575001", 9036-493397 ,,P. Vinod Shenoy
137, Karnataka ,Bagalkot,Ashadeepa Angavikalara Sarva Abhiwruddhi Seva Samsthe,ashadeepa.orgilkal@gmail.com,"109, Ward No. 4Shivaji Nagar, Ilkal - 587125", 9986-509910 ,Disha,Raghu N Hubballi
138, Karnataka ,Haveri,Roshni Trust,roshnisac@yahoo.co.in,"#, Kumareshwara Nagara, Hangalopp. New Court, Hanagal - 581104", 9945-368152 ,,Sr.Anitha Dsouza
139, Karnataka ,Bangalore Urban,Welfare Association for Rehabilitation Of Disabled and Society (Wards),wards.bengaluru@gmail.com,"Wards, C.A.Site No.1,, 10Th Main Road, Jeevan Bhima Nagar, New Thippasandra Postnext To Hopcoms, Bangalore - 560075", 8105-676362 ,,Mrs. Aruna
140, Karnataka ,Gadag,Shri B. D. Tatti Memorial Charitable Trust,somanathbdt@gmail.com,"No No, Tatti Annavara Nagaragastya Teerth Road, Laxmeshwar - 582116", 9448-309994 ,Disha,Somanath Mahajanashettar
141, Karnataka ,Mandya,St. Thomas Mission Society,ashasadan@ymail.com,"Kl 232 A, Santhome, P.B.No 42, Pes Engineering College Roadopp. Zilla Panchayat, Mandya - 517401", 9448-158345 , Niramaya,Joseph Cyriac
142, Karnataka ,Bangalore Urban,Giftabled Foundation,svastya@giftabled.org,"#148, 1St A Main East Of Ngef Layout Kasturi Nagar Bangalore -43New Shanthi Sagar, Bangalore - 560043", 9880-494953 ,,Prarthana Kaul
143, Karnataka ,Bangalore Urban,Ashakiran Special Needs School Unit Of Asha Kiran Trust,ashakirantrust@gmail.com,"Hl 212, Esther Gardens,Horamavu - Ramamuthy Nagar Road, Bangalore - 560016", 9341-262237 ,,Dr. Rita James
144, Karnataka ,Bellary,Saadhya Trust for Social Development,arathiharish2014@gmail.com,"00000, 24Th Ward, Ballari Roadtmaes Iti College Campus, Near Rosebud School, Hosapete - 583201", 9481-160691 ,,Arathi K T
145, Kerala ,Pathanamthitta,Karthika Nair Smarak Samithi,knmrc@rediffmail.com,"Xii/529, Vallamkulam P.O.Thiruvalla, Pathanamthitta - 689541", 9446-116221 ,,K.P.Ramesh
146, Kerala ,Thrissur,Swasraya-special Child Development and Vocational Training Centre for Differently Abled,swasraya91@gmail.com,"15/207, Swasraya Special Child Development And Vocational Training Centre For Differently - Abled, P.O Kutturnear Neithalakavu Temple, Thrissur - 680013", 9447-969795 ,,Mrs.Shantha Menon
147, Kerala ,Kollam,Manovikas School for Mentally Challenged,manovikas@gmail.com,"227, Palliserikkal Postsasthamcotta, Kollam - 690521", 9562-460802 ,Disha,Shri. D. Jacob
148, Kerala ,Wayanad,Prerana Special School Unit Of Manavaseva Charitable Trust,preranaspecialschool199@gmail.com,"7, Puliyarmalapuliyarmala, Kalpetta - 673121", 9495-249963 ,,M D Venkitta Subrahmanian
149, Kerala ,Thrissur,Social Action Forum Irinjalakuda,socialactionijk@gmail.com,"Social Action Forum Irinjalakuda, Cathedral Junction Westirinjalakuda, Irinjalakuda - 680121", 8547-138986 ,,Fr. Varghese Paul
150, Kerala ,Kozhikode,V.k Mohamed Charitable Trust,mail@vkspecialschool.com,"19/2026F, 4Th Floor,Indus Avenuekallai Road, Kozhikkode - 673002", 9847-214957 , Niramaya,V.K.Mohammed Ashraf
151, Kerala ,Pathanamthitta,Assisi Centre School for Mentally Challenged,assisicentre2013@gmail.com,"420, Chunkapparachunkappara, Chunkappara - 686547", 9400-996799 ,,Poppy Mathew
152, Kerala ,Thiruvananthapuram,Grama Jyothi National Institute for the Differently Abled,gramajyothisschool@gmail.com,"Grama Jyothi Special School, Pazhakutty P.Onedumangad, Nedumangad - 695561", 9387-814299 ,,Thomas Mammen
153, Kerala ,Kottayam,"Sneharam Special School for Mentally Retarded, Pala",sneharamss.pala@gmail.com,"90, Kochidappadypala East P.O., Pala - 686575", 9142-849161 ,,Sr.Carmel Geo Sms
154, Kerala ,Kottayam,Asha Nilayam,ashanilayamspl@gmail.com,"709, Ponkunnamnear Civil Station Ponkunnam, Ponkunnam - 686506", 9446-506952 , Niramaya,Fr Roy Mathew Vadakkel
155, Kerala ,Kozhikode,Humanity Charitable Trust,humanityindz@gmail.com,"23/137A, Fareedkannanchery, P.O Kallai,Calicut - 673003", 8137-999990 , Niramaya,P K M Siraj
156, Kerala ,Ernakulam,Raksha Society for the Care Of Children With Special Needs,rakshasocietykochi@gmail.com,"Vii/370, Darragh Salaam Roadeast Gate Chembittapally, Kochi - 682002", 9446-039961 ,,Mrs.Ragini Menon
157, Kerala ,Kottayam,Jeevodaya Centre School for Mentally Challenged Children Kurumpanadom,jeevodayacentre@gmail.com,"11/505, Kurumpanadomkurumpanadom, Kottayam - 686536", 9562-260382 ,,Minimol Sebastian
158, Kerala ,Kozhikode,Nest Nccc Niarc Under Koyilandy Palliative Care Society,koyilandypalliativecare@gmail.com,"169 J,K,L, Nest Road ,Koyilandybehind Govt Hospital,Koyilandy, Koyilandy - 673305", 9745-126699 ,,Abdulla Karuvancherry
159, Kerala ,Thrissur,Snehadeepthy Special School run by Snehadeepthy Charitable Trust,css_snehadeepthy@yahoo.co.in,"743/A, 743/2, 743/3, Pattalakunnu, Samaritan Sistersmannuthy P.O., Thrissur - 680651", 9497-623010 ,,Sr.Pushpam Css
160, Kerala ,Kozhikode,Amar Jyothi Special School run by Amar Jyothi Charitable Society,amarjyothisabs@gmail.com,"2/264, Korangadalphonsa English Medium Highersecondary School, Thamarassery - 673573", 9645-381255 ,,Tessy
161, Kerala ,Pathanamthitta,Sathyanikethan Special School run by Sathyam Literature Service,office@sathyam.org,"Sathyam Literature Service, Thottabhagomthiruvalla, Thiruvalla - 689541", 9446-513555 ,,Chacko Varghese
162, Kerala ,Pathanamthitta,Deepti Vocational Training Centre run by Deepti Educational and Charitable Foundation,deepticharity@gmail.com,"E.V.Road, Chennampalliladoor, Adoor - 691523", 9400-730419 ,,Dr.Susan Mathew
163, Kerala ,Ernakulam,N.musthafa Sahib Memorial M E S Institute for Mentally Challenged Unit Of Muslim Education Society,nmusthafamescharity@gmail.com,"Vi/399, N.Musthafa Sahib Memorial M.E.S Charitable Complexedathala North P.O, Aluva - 683561", 9447-458679 ,,K.M Shamsuddin
164, Kerala ,Palakkad,Ashadeepam Convent School for Mentally Challenged Children,ashadeepamconventschool@gmail.com,"17/421,17/612,, Koonatharanear Plaza, Ottapalam - 679523", 9567-677818 ,,Sr Flory
165, Kerala ,Ernakulam,Mithram Charitable Society Special School,mithramsoc@gmail.com,"496, Mithram Rehabilitation Complexkanjirikkapilly, Aarakkunnam, P.O., Dist. - Ernakulam - 682313", 9388-467483 ,,P.B. George
166, Kerala ,Kottayam,Society for the Empowerment Of the Learning Disabled.St.John Of God Special School,seldjohnofgodschool@yahoo.com,"314B (Old Number 11/270), Velloorpampady, Kottayam, Kottayam - 686501", 8129-906050 ,,Bro.George .K .T
167, Kerala ,Palakkad,Devashrayam Rehabilitation Centre for Mentally Challenged - A Unit Of Devashrayam Charitable Society,devashrayam@rediffmail.com,"Viii/275, Thekketharamarutharoad Post, Palakkad - 678007", 9288-110000 , Niramaya,M N Govind
168, Kerala ,Kasargode,Rotary Special School for Differentially Able Children. A Unit Of Rotary M.B.M Charitable Trust,rotaryschool4mr@gmail.com,"Rotary Village,, Anandashram Po,Kanhangad, Kasaragod, Kasaragod - 671531", 9895-653040 , Niramaya,Beena Joseph
169, Kerala ,Kottayam,Asha Bhavan School and Home for Mentally Challenged,ashabhavan1973@gmail.com,"353B, Changanacherrynear Priest Home, Ithithanam, Changanacherry - 686104", 9496-261196 , Niramaya,Thressiamma Philip
170, Kerala ,Alappuzha,Sahrudaya Special School for Mentally Challenged Managed by Pavithra Social Service Society,sahrudayass@gmail.com,"186, Ramankarynear St. Joseph Church, Ramankary - 689595", 8301-026551 , Niramaya,Renju Mathew
171, Kerala ,Kottayam,Sevanikethan Thiruhrudaya Nivas School for Mentally Challenged,thiruhrudayanivas1990@gmail.com,"406, Kurisumoodunear Parel, Changanacherry - 686104", 9400-231060 ,,Thresiamma Joseph
172, Kerala ,Kollam,Ashraya,ashrayapulliyil@gmail.com,"Ashraya, Pulliyilkilikolloor .Po, Kollam, Kollam, Kerala - 691004", 9446-315656 , Niramaya,R. Venugopalan Nair
173, Kerala ,Kozhikode,"Prasanthi School for Children With Special Needs, run by Navajyothi Charitable Trust",prasanthicalicut@gmail.com,"18/302, Prasanthi Nagarpantheerankave P O, Kozhikode,Kerala - 673019", 9747-395090 ,,Er. Vineesh Vidyadharan
174, Kerala ,Alappuzha,Deepthy School and Home for Mentally Retarded Managed by Deepthy Society,deepthisps@gmail.com,"Deepthy Special School, Near Boat Jetty, Muhammaopposite To St. George Church, Muhamma - 688525", 8281-975157 ,,Mariamma Chacko
175, Kerala ,Kollam,Gandhibhavan International Trust,gandhibhavan@gmail.com,"621, C/O Gandhibhavan International Trustkundayam.P.O, Pathanapuram, Pathanapuram - 689695", 9605-047000 ,,Dr.Punalur Somarajan
176, Kerala ,Idukki,Vosard - Voluntary Organisation for Social Action and Rural Development,vosard@gmail.com,"Viii/506, Valiyakandamkumily, Kerala - 685509", 9447-387538 , Niramaya,Jose Antony
177, Kerala ,Pathanamthitta,Njanodaya Special School for Intellectual Disability Managed by Njanodaya Charitable Society,njanodayaspl@gmail.com,"Niranam P.O., Kadaprasn Hospital Niranam, Niranam - 689621", 9539-090069 ,,Beena
178, Kerala ,Thrissur,Tropical Health Foundation Of India,mail@thfi.in,"Tropical Health Foundation Of India, Guruvayoor Road, Arthatpo Kunnamkulam, Thrissur - 680503", 9847-034161 , Niramaya,Dr K Jacob Roy
179, Kerala ,Kozhikode,Kaarunyatheeram Special School Under Health Care Foundation,mail@healthcarefoundation.in,"Karunya Bhavan, Poonoorunnikulam (Po), Kozhikode - 673574", 9946-661089 ,,Abdul Shameer Bava Ck
180, Madhya Pradesh ,Bhopal,Jigyasa Samaj Kalyan Sewa Samiti,jskss.bhopal@rediffmail.com,"1404/6, Navjeevan Colonychhola Road, Huzur - 462001", 9303-123594 ,"Vikaas,Disha",Mukesh Thakur
181, Madhya Pradesh ,Bhopal,Madhuri Aayaam Education and Welfare Society,madhuriaayaam@gmail.com,"1414, Berkhedi Bazyaftnear Goushala Old Crusher Plant, Bhopal - 462044", 9424-476498 ,Vikaas,Viva Joshi
182, Madhya Pradesh ,Jabalpur,Rajeev Kumar Samaj Kalyan Gram Vikesh Shod Santhan,rajurecord@gmail.com,"2983, New Kanchanpuraadhartal, Jabalpur - 482004", 9329-325008 ,"Gharaunda,Vikaas,Disha Niramaya",Rajiv Kumar Raikwar
183, Madhya Pradesh ,Indore,Shri Shri Utkarsh Samity,ssusindore@gmail.com,"301 Snehdeep Apartment, 38, Narayan Baghindore(Mp), Indore - 452007", 9303-225546 ,"Samarth,Vikaas Niramaya",Priyanka Phadnaik
184, Madhya Pradesh ,Chhindwara,Gramin Adivasi Samaj Vikas Sansthan,gasvs.sansar2@gmail.com,"Ward No. 09, Vivekanad Colony, At Belgaon Post Jamsawalilaxmi Nagar Road, Sausar - 480106", 9699-734648 ,Badhte Kadam,Adv Ajay Dhawle
185, Madhya Pradesh ,Vidisha,Rajul Viklang Palak Abhibhavak Utthan Samiti,rajulvds2010@gmail.com,"House No. 1, Bada Bazaararihant Kirana Store, Vidisha - 464001", 8889-829433 ,,Sanjeev Kumar Jain
186, Madhya Pradesh ,Bhopal,Aadhar Gyan Dhatri Samiti,aadharcentre@gmail.com,"E-4/223, Arera Colonynear 10 No. Market, Bhopal - 462016", 9425-374293 ,"Disha,Badhte Kadam",Dr Jagmeet Kaur Chawla
187, Madhya Pradesh ,Jabalpur,Navjyotispecialschoolrun by Mahakoshal Navjyotisociety,navjyotispecialschool@gmail.com,"Plot No.40/02, Rimjhanear St.Aloysious School Campus, Jabalpur - 482002", 9575-367332 ,,Shanti Tirkey
188, Madhya Pradesh ,Bhopal,Shalom Special School for the Mentally Handicapped Unit Of Nirmal Mata Society,shalomsplschool@gmail.com,"139, Lambakhedaj.N.C.T.Road, Bhopal - 462009", 7869-732650 ,,Seena Francis
189, Madhya Pradesh ,Gwalior,Ehsaas,ananya97in@yahoo.com,"3Rd Floor Anhantam G192, Patel Nagarfront Of Green Gardan, Gwalior - 474009", 9329-825578 , Niramaya,Geeta Dhingra
190, Madhya Pradesh ,Narsinghpur,Bramharshi Vashishth Sikshan Prasikshan Avam Sewa Samiti Narsinghpur,anandsobmp@gmail.com,"32, Near Geeta Gupta Nurshing Homekandeli Narsinghpur, Narsinghpur - 487001", 9424-645321 ,"Gharaunda,Disha,Vikaas Niramaya",Mr. Rakesh Sukla
191, Madhya Pradesh ,Rewa,Indian Red Cross Society Rewa,redcrossrewa@rediffmail.com,"Punarwas Bhawan, Civil Linejhiriya, Rewa - 486001", 9425-185358 ,,Dr H.P.Singh
192, Madhya Pradesh ,Hoshangabad,Dr Annie Besant Mr Special School run by Dr Annie Besant Memorial Education Institute,directoranniebesantschool@gmail.com,"Ward No 12, Samarth Parisar Rewa Bhgawati Nagarphase I Malakhedi Road, Hoshangabad - 461001", 7415-746992 ,Sahyogi Niramaya,Smt. Aarti Dutta
193, Madhya Pradesh ,Ujjain,Nagda Zenith Social Welfare Society,snehnagda@gmail.com,"3/10, Adarsh Gandhi Gram Colonynagda Jn, Nagda - 456335", 9981-582726 ,"Badhte Kadam,Disha,Vikaas,Sahyogi,Prerna Niramaya",Er. Pankaj Maru
194, Madhya Pradesh ,Betul,Jainarayan Sarvodaya Vidyalaya Samiti,jaynarayan_btl@rediffmail.com,"24, Village Karajgaonpost Office Rondha, Betul - 460001", 9406-535112 ,"Disha,Gharaunda,Vikaas,Badhte Kadam,Sahyogi",Avaneesh Patankar
195, Madhya Pradesh ,Datia,Divyang Punarwas Sikchan and Prashichan Sansthan,ambujtiwari110@gmail.com,"Ward-34, Behind Datia Stationdinara Road Datia, Datia - 475661", 9424-723750 ,,Chanda Tripathi
196, Madhya Pradesh ,Ratlam,Sarthi Ratlam run by Lakhdatar Foundation,lakhdatarfoundation@gmail.com,"A-114, Jawahar Nagarbehind Ram Mandir, Ratlam - 457001", 9981-479661 ,,Swati Solanki
197, Madhya Pradesh ,Sagar,Life Line Service Society,llss_tip@rediffmail.com,"10, Tili Tigadda Roadbehind Of Post Matric Residential School Behind Tilli Ward Sagar, Sagar - 470002", 9827-141504 ,"Badhte Kadam,Disha,Gharaunda,Sahyogi,Vikaas,Samarth",Preeti Yadav
198, Madhya Pradesh ,Indore,Nishakt Jan Aadhar Welfare Society,njawsociety@gmail.com,"1-A, Sangam Nagar Indorenear Scheme No 51Police Chowki, Indore - 452006", 9977-505183 ,Gharaunda Niramaya,Deepak Phadnis
199, Madhya Pradesh ,Bhopal,Sos Childrens Villages Khajuri Kalan India,deepak.saxena@soscvindia.org,"Pb 27, Amjhara Road, Near Raisen Hoshangabadbye Paas Road, Khajuri Kalan, Bhopal - 462022", 7389-924401 ,,Mr Deepak Saxena
200, Madhya Pradesh ,Satna,Samudaik Kalyan Samity,sksstate@gmail.com,"629, Satnanear Kaushal Vikas Kendra Civil Line, Satna - 485001", 9174-525354 , Niramaya,Shobha Singh
201, Madhya Pradesh ,Jabalpur,Justice Tankha Memorial Rotary Institute for Special Children,jabalpur.jtmri@gmail.com,"H. No. 101, Pachpedilohiapull, Jabalpur - 482001", 9424-309352 ,,Baldeep Maini
202, Madhya Pradesh ,Jabalpur,"Disable Persons (Mr, Cp, Autism, Md) Parents Association",abhaydubeyjbp@gmail.com,"131, Indrapuri Colonygwarighat Road, Jabalpur, Jabalpur - 482008", 9425-150672 , Niramaya,Abhay Kumar Dubey
203, Madhya Pradesh ,Singrauli,Adarsh Viklang Seva Sangh,viklangseva@gmail.com,"Shop 77 Chunkumari Stadium, Ward 40 Adarsh Wardwaidhan, Singrauli Mp - 486886", 9424-348178 ,"Vikaas,Gharaunda Niramaya",Shailesh Kumar Mishra
204, Madhya Pradesh ,Betul,Navodit Gram Utthan Mahila Evam Bal Vikas Samiti,ngumbv@rediffmail.com,"00, Vill Post Batkidohchopna, Betul - 460440", 8889-006751 ,"Disha,Gharaunda,Vikaas,Badhte Kadam,Samarth",Shantiranjan Sikdar
205, Madhya Pradesh ,Ujjain,Madhya Pradesh Viklang Sahayata Samiti,mpvss10@gmail.com,"51, Chandessarychandessara, Ujjain - 456664", 9425-332740 ,"Vikaas,Disha Niramaya",Fr. George
206, Madhya Pradesh ,Bhind,Mahila Bal Vikas Samiti,mbvs_45@rediffmail.com,"11/451, Vikarampurabti Road, Bhind - 477001", 9425-794650 ,"Disha,Vikaas,Badhte Kadam,Gharaunda Niramaya",Shivbhan Singh Rathour
207, Madhya Pradesh ,Rewa,Raj Rani Sewa Evam Shikshan Prashikshan Sansthan and Social Welfare Society,rsespsandsocialwelfare@gmail.com,"34, Vill. Kashihai Post. Barihardi Ward No. 2 Po- Baikunthpur, Branch Office-Chhatrapati Nagar,Wtahasil-Sirmaur And Teh-Hujur, Rewa/ Satna - 486441", 8934-092201 ,"Disha,Vikaas,Sahyogi,Gharaunda,Badhte Kadam",Sanjay Singh
208, Madhya Pradesh ,Indore,Anand Service Society,anandservicesociety@gmail.com,"Ek133 Scheme No. 54, Vijay Nagarnear Kk College, Indore - 452010", 9425-053971 ,,Gyanendra Purohit
209, Madhya Pradesh ,Chhindwara,Aadhar Foundation,aadhar.foundation@rediffmail.com,"48 Panchwati Ward, Opp. Mp 28 Dhaba, Parasia Roadpanchwati Ward No 48, Poama,, Chhindwara - 480001", 8989-173581 ,"Disha,Vikaas,Gharaunda,Sahyogi,Badhte Kadam,Samarth",Er. Mahesh Kinth
210, Madhya Pradesh ,Sagar,Anjani Jan Kalyan Sansthan Samiti Bina,anjanijankalyan@gmail.com,"325, Aagasod Roudaugshod Roud, Bina - 470113", 9981-330835 ,Samarth,Nandram Kuswaha
211, Madhya Pradesh ,Guna,Man-mental Health Awareness Networking,manspecialschool@rediffmail.com,"B1-B2, Green Park Colony, Bhullanpura Bypassguna, Guna - 473001", 9827-389872 , Niramaya,Sangeeta Singh
212, Madhya Pradesh ,Barwani,Ashagram Trust,ashagram_trust@rediffmail.com,"District Barwanimadhya Pradesh, Barwani - 451551", 7693-073035 ,,Dr. S.N. Yadav
213, Madhya Pradesh ,Sagar,Sarv Shri Maa Narmada Shiksha Avm Jan Kalyan Seva Samiti,ssmnsajkss786@gmail.com,"62, Bazar Ward Deorinear Besik School, Deori - 470226", 9893-403841 ,"Gharaunda,Disha,Samarth,Vikaas,Disha",Mayank Dubey
214, Madhya Pradesh ,Ujjain,Ujjaini Senior Citizens Forum (Uscf),sewadham24@gmail.com,"104, Durga Plaza, Dewas Roadfreeganj, Ujjain, Ujjain - 456010", 9425-092505 ,,Sudhir Bhai Goyal
215, Madhya Pradesh ,Bhind,Famous Mahila Kalyan Samiti,fmks.bhind@gmail.com,"48 Ward No 14, Housing Colony Behind Kusum Bai College Bhindbhind, Bhind - 477001", 9575-274575 ,,Akbar Khan
216, Madhya Pradesh ,Bhopal,Nidaan Sewa Samiti,pmohandas63@gmail.com,"B-291, B-291, Shahpura, B-Sector,Near Sadana Surgical, Bhopal - 462039", 9826-934500 ,,Kala Mohan
217, Madhya Pradesh ,Ratlam,Bargarh Mahavir Yuvak Mandal Samiti,bmyms@rediffmail.com,"178/1, Ahrihaant Colony Alotehp Petrol Pump, Ratlam - 457114", 9753-768150 ,Vikaas,Yogendranarayan Mandaloi
218, Madhya Pradesh ,Rewa,Sneh Mand Buddhi Avam Mook Badhir School Unit Of Sneh Shikshan Avam Manav Seva Sansthan,snehshikshan@gmail.com,"H No 885, Gali No 2Behind Kirti Kranti Press, Rewa - 486001", 9755-412191 ,Disha,Ram Sewak Sahu
219, Madhya Pradesh ,Vidisha,Ummeed Shikshan Samiti,ummeedshikshansamity@gmail.com,"44 Mig Indra Complex, Vidishavidisha, Vidisha - 464001", 9098-719899 ,"Disha,Vikaas",Rekha Motwani
220, Madhya Pradesh ,Sagar,Jan Jagran Educational and Health Wealfare Society Sagar,mjkps2@gmail.com,"110, Banda Roadmakroniya, Sagar - 470002", 9300-071924 ,Disha,Satyam Singh
221, Madhya Pradesh ,Jabalpur,Moulana Azad Education Foundation,recordrk6@gmail.com,"12, Housing Bord Maharajpur Jabalpuradhartal, Jabalpur - 482004", 9425-471236 ,"Vikaas,Gharaunda,Disha",Arti Raikwar
222, Madhya Pradesh ,Jabalpur,Viklang Seva Bharti,vsbmp123@rediffmail.com,"Sarai No 1 Police Line, Opposite High Courtadjacent To Bsnl Office, Jabalpur - 482001", 9425-152222 ,,Mitali Banerji
223, Madhya Pradesh ,Betul,Maa Savasan Mahila Mandal,maa.betul@rediffmail.com,"145, Victor Photonear Kale Ki Chakki, Betul - 460001", 7869-706872 ,"Gharaunda,Vikaas",Pratibha Uikey
224, Madhya Pradesh ,Bhopal,Digdarshika Institute Of Rehabilitation Research,dirr89@rediffmail.com,"10, Rohit Nagar Phase-1,, Rohit Grih Nirman Samiti,Bawadiya Kalan,, Bhopal - 462039", 9425-301177 ,"Vikaas,Disha Niramaya",Usha Upadhayaya
225, Madhya Pradesh ,Chhindwara,Ashakiran Punarvas Kendra run by Sanjeevani Service Society Narsinghpur,sssnbpl@gmail.com,"Shantigiri Ashram, Near Bhamodi Panchayathiklehra Post, Parasia, Parasia - 480449", 7024-178833 ,,Thomas Varghese
226, Maharashtra ,Solapur,Jivhala Society for the Mentally Handicapped,jivhalasociety@gmail.com,"9, Jivhala Society For The Mentally Handicapped,Vasant Vihar, Old Pune Naka, Solapur ( Maharastra ) - 413001", 9422-457324 ,Samarth Niramaya,Mr. Annarao Bhimashankar Rajmane
