S.No.,State,District,Organization Name,Email,Address,Phone No.,Schemes Enrolled,Authorized Person
93, Haryana ,Kurukshetra											,Society For Education And Empowerment Of Disadvantage,seedkurukshetra@gmail.com,"
												Kheri Markanda, Khedimarkanda, Partapgarh Road, Kurukshetra, Haryana, India, 136118HARYANA, Kurukshetra - 136118   
											", 9812089840 ,"
																																															",Jai Prakash Keshari
94, Haryana ,Bhiwani											,Adarsh Para Medical Welfare Association,adarshmitc@gmail.com,"
												na, Uttam Nagar, Loharu RoadNear Chara Mandi,, Bhiwani(Hry.) - 127021   
											", 9729080045 ,"
												Vikaas,Badhte Kadam,Sahyogi																																			",Dr.Rajesh Kumar
95, Haryana ,Faridabad											,TENDER HEART EDUCATION SOCIETY,tenderheartngo@yahoo.com,"
												695, SECTOR 28, FARIDABAD - 121003   
											", 9350844393 ,"
																								 												Niramaya											",RENU BALI
96, Haryana ,Yamunanagar											,Aarohan Welfare Society,aarohanwelsoc@gmail.com,"
												132, professor colony  Opp DAV Physiotherapy college, Yamuna Nagar - 135001   
											", 9355370656 ,"
																								 												Niramaya											",Dr Ritu Soni
97, Haryana ,Jind											,DARPAN COMMUNICATION SOCIETY,darpanjind@gmail.com,"
												881/18, Shiv Colony,jind, JIND - 126102   
											", 8607855300 ,"
																																															",SHRI BHAGWAN RANA
98, Haryana ,Rewari											,NAV PRERNA,navprerna3441@yahoo.com,"
												SH GANESHI LAL GOYAL DHARMSHALA, RADHA SWAMI COLONY, SECTOR3NEAR GYMKHANA CLUB, REWARI - 123404   
											", 9812160556 ,"
												Vikaas																																			",HARISH MALIK
99, Haryana ,Gurgaon											,"Vishwas,Vision For Health Welfare  Special Needs",admn.vishwas@gmail.com,"
												Vishwas vision for health welfare  and special needs, sector-46, Arya Samaj roadnear unitech cyber park, Gurgaon - 122002   
											", 8178047774 ,"
																								 												Niramaya											",Neelam Jolly
100, Haryana ,Gurgaon											,Khushboo Welfare Society,khushboowelfaresociety@gmail.com,"
												02, Sector-10ANear Lions Public School, Gurgaon - 122001   
											", 9971698963 ,"
																																															",Vijay Pal
"
																								",,,,,,,,
 Page 10 of 55 ( 542 records ) ,,,,,,,,
101, Haryana ,Ambala											,Novelty Education Society,pgambhir2001@gmail.com,"
												Novelty Complex, #5173-74,  Noverlty ComplexBazaza Bazar, Ambala Cantt. - 133001   
											", 9416394173 ,"
																								 												Niramaya											",Satya Pal
102, Himachal Pradesh ,Mandi											,Sahyog Bal Shravan Viklang Kalyan Samiti,nksharma52@yahoo.com,"
												244/7, National Street, Near Pnb Moti Bazar, Mandi - 175001   
											", 9418023539 ,"
																																															",Narender Kumar Sharma
103, Himachal Pradesh ,Kangra											,CORD (Chinmaya Organisation for Rural Development),cordsidhbari@gmail.com,"
												9/1, Village and post office SidhbariTehsil  Dharmashala, Dharamsala - 176057   
											", 9816655592 ,"
																								 												Niramaya											",Dr. Kshama Metre
104, Himachal Pradesh ,Una											,Prem Ashram    Institute of Sisters of Charity,vincyalex009@gmail.com,"
												000, Takka RoadNear HRTC Workshop, Una - 174303   
											", 7831014330 ,"
																																															",Jibin Mol V.V
105, Himachal Pradesh ,Solan											,Ganpati Educational Society,sharma.roshan@yahoo.co.in,"
												...., Near Telephone ExchangeTELEPHONE EXCHANGE, KUNIHAR - 173207   
											", 9418079043 ,"
												Vikaas,Disha,Sahyogi																																			",Roshan lal sharma
106, Himachal Pradesh ,Mandi											,Sakar Society For Differently Abled Persons,sakarsociety@yahoo.in,"
												Vil- Dohwan,, Sunder NagarMandi, Himachal Pradesh - 175002   
											", 9816018605 ,"
												Disha,Vikaas																																			",Sheetal Sharma
107, Himachal Pradesh ,Hamirpur											,PEHCHAN EDUCATION SOCIETY,pehchan.hmr@gmail.com,"
												VILL. CHUNAL, JHANIARANEAR CENTRAL SCHOOL, HAMIRPUR - 177001   
											", 7018512743 ,"
																																															",CHETNA SHARMA
108, Himachal Pradesh ,Sirmaur											,Aastha Welfare Society,aasthanahan@gmail.com,"
												Aastha welfare society, PUCCA TANKNear Panchayat Bhawan, Nahan - 173001   
											", 9418035001 ,"
																																															",Rajeev Bhandari
109, Himachal Pradesh ,Shimla											,Udaan Parents and Guardians Society of Mentally Challenged Children,udaanhp@gmail.com,"
												B-16, Sector- 2,,, New ShimlaNear community center, shimla - 171009   
											", 9418395095 ,"
												Vikaas																																			",Madhuri Sood
110, Himachal Pradesh ,Una											,Human Rights Protection Cell And Welfare Association ASHHRAYA Siddyana Tobba Lower Dehlan  Distt Una,ashhraya@gmail.com,"
												Sadyana Tobba, Dehlan Bedharer RoadCommunity Centre, Lower Dehlan - 174306   
											", 9736980666 ,"
																																															",Suresh Kumar
"
																								",,,,,,,,
 Page 11 of 55 ( 542 records ) ,,,,,,,,
111, Jharkhand ,Ranchi											,"Deepshikha, Institute for Child Development and Mental Health(A Unit of Purshree)",deepshikhainfo@gmail.com,"
												Arya Samaj Mandir, Swami Shradhanand RoadUpper Bazar Ranchi, Jharkhand - 834001   
											", 9334423789 ,"
												Badhte Kadam												 												Niramaya											",Sudha Lhila
112, Jharkhand ,Dhanbad											,Pahela Kadam Special School Run By Narayani Charitable Trust,narayanicharitabletrust@gmail.com,"
												8, Saraidhela RoadNear Saraidhela Police Thana, Dhanbad - 826003   
											", 9471162439 ,"
																								 												Niramaya											",Smt. Anita Agarwal
113, Jharkhand ,Deoghar											,Srijak Samuh,srijaksamuh@gmail.com,"
												Srijak Samuh, Williams TownRani Kothi, B. Deoghar,, DEOGHAR - 814112   
											", 9431063699 ,"
																																															",UMASHANKAR KUMAR
114, Jharkhand ,Hazaribagh											,Samajik Samasya Niwaran Ewam Kalyan Sansthan,ssneks@gmail.com,"
												300, Forest colony, HurhuruNear cemetery gate, Hazaribag - 825301   
											", 9431796018 ,"
																																															",Manish kumar sinha
115, Jharkhand ,Ranchi											,CHILD CONCERN,childconcern.jharkhand@gmail.com,"
												1B, Shubh Gauri Enclave, Budh Vihar Colony,, Argora Bypass, Ashok Nagar, Harmu,  RanchiArgora Bypass, Ranchi - 834002   
											", 9472162409 ,"
												Badhte Kadam																																			",SUGANDH NARAYAN PRASAD
116, Jharkhand ,Ranchi											,JHARKHAND PARENT ASSOCIATION,koshishparent@gmail.com,"
												H-70, Argora Housing Colony, RanchiNear Argora Chaowk, Ranchi - 834002   
											", 9934523571 ,"
																																															",DEEPA CHOUDHARY
117, Jharkhand ,Ramgarh											,BHAWISHYA KIRAN,jha_sanjeev1972@rediffmail.com,"
												QNO-B/6, RESCUE BHAWAN COLONY, NAISARAINEAR DAMODER PULL, RAMGARH - 829122   
											", 9431535390 ,"
																																															",MALA JHA
118, Jharkhand ,East Singhbhum											,Parents Association of Mentally Handicapped of Jamshedpur,pamhj361@gmail.com,"
												Lions Club of Jamshedpur Artificial Limb Fitting Centre(LALFIC), SonariNear Carmel Junior College/Bal Vihar, Jamshedpur - 831011   
											", 9431372214 ,"
												Prerna																																			",P BABU RAO
119, Jharkhand ,Dhanbad											,Jeevan,jeevan_ak@yahoo.co.in,"
												Jeevan, Bastacolla, GaushallamoreDhansar, Dhanbad, Dhanbad - 828106   
											", 9934352294 ,"
												Vikaas,Samarth,Badhte Kadam,Sahyogi																																			",Anil Kumar Singh
120, Karnataka ,Bangalore Urban											,Baldwin Opportunity School of  Baldwin Methodist Educational Society,baldwinoppschool@hotmail.com,"
												No.3,, 3, Rhenius Street, Richmond TownRichmond Town, Bangalore - 560025   
											", 9845389740 ,"
																																															",Sajinie Gnanatheeban
"
																								",,,,,,,,
 Page 12 of 55 ( 542 records ) ,,,,,,,,
121, Karnataka ,Devangere 											,SPOORTHY ORGANIZATION FOR EDUCATION AND SOCIAL DEVELOPMENT,spoorthy.hnl@gmail.com,"
												SPOORTHY, URDU SCHOOLNEAR URDU SCHOOL, NALLUR - 577221   
											", 9448976910 ,"
												Disha																																			",K B ROOPA NAIK
122, Karnataka ,Belgaum											,SHRI DOODNANA VIKAS SHIKSHAN SANSTHE,shridvss@gmail.com,"
												99, SHIVALINGESHWAR KRUPAMAHALINGESHWAR NAGAR FALLS ROAD, GOKAK - 591307   
											", 8095388511 ,"
																																															",SHRIMANTH SADALAGI
123, Karnataka ,Bangalore Urban											,TAMAHAR TRUST,tamahar@gmail.com,"
												#95,, 6th Main, Between 13th and 15th Cross,Behind Renaissance Regalia, Bangalore - 560003   
											", 9845551209 ,"
																																															",VAISHALI B PAI
124, Karnataka ,Chikmagalur											,SOCIETY FOR PEOPLES INTEGRATED  DEVELOPMENT R,ddrcspidckm@gmail.com,"
												.162, Prabhu Street, Near Thogarihucle CercleOPP JOSEPH CHURCH, Chickamagaluru - 577101   
											", 9448008417 ,"
																								 												Niramaya											",PRAKASH K
125, Karnataka ,Bangalore Urban											,KARNATAKA PARENTS ASSOCIATION FOR MENTALLY RETARDED CITIZENS,kpamrc@gmail.com,"
												12, 3rd cross, 8th Main, Byrasandra Layout, Jayanagar 1st Block East, Bangalore, Byrasandra Main RoadNear NIMHANS, Banglore - 560011   
											", 9845462451 ,"
												Badhte Kadam,Gharaunda												 												Niramaya											",K R Venkatesha
126, Karnataka ,Bangalore Urban											,The Association For The Mentally Challenged,amc.bangalore@gmail.com,"
												The Association for the mentally Challenged, Near Kidwai Cancer HospitalOff Hosur Road, Bangalore - 560029   
											", 9845325100 ,"
																																															",Ms.Vanishree Manohar
127, Karnataka ,Bangalore Urban											,Academy For The Severely Handicapped And Autistic Persons Charitable Trust,info@ashaforautism.com,"
												L-76/A, HBCS 3rd Stage, Kirloskar Colony4th Block, Basaveshwaranagar, Bangalore - 560079   
											", 9343764415 ,"
																																															",Mrs. Jayashree Ramesh
128, Karnataka ,Gulbarga											,Vinayaka Educational Trust,vinayakaeducationaltrust131@gmail.com,"
												10-105/4, Sharan Nagar, BrahmpurOPP N.V.School, Gulbarga - 585103   
											", 9980817060 ,"
																																															",Shrimanth Revoor
129, Karnataka ,Bangalore Urban											,ALFAA (Assisted Living for Autistic Adults),alfaa2010@gmail.com,"
												Pocket 3, C-506, Vasant Vihar,, Pocket 3, C-506, Vasant Vihar, AWHO Colony,  VidhyanagarBillmarnahalli Main Road,, BANGALORE - 562157   
											", 9741418103 ,"
												Badhte Kadam												 												Niramaya											",Ruby Singh
130, Karnataka ,Bangalore Urban											,SHRISTI SPECIAL ACADEMY,shristiblr@gmail.com,"
												No.20, Jattipalya, Channenahalli 20th KmMagadi Road, Janaseva Vidya Kendra, Banglore - 562130   
											", 9900170959 ,"
																								 												Niramaya											",Suchita Somashekaraiah
"
																								",,,,,,,,
 Page 13 of 55 ( 542 records ) ,,,,,,,,
131, Karnataka ,Chikballapur											,PRAGNA TRUST,nagaraj.n.gbd@gmail.com,"
												03, Bye-pass RoadRAMALINGESHWARA EXTENSION, GOWRIBIDANUR - 561208   
											", 9972009412 ,"
												Disha,Badhte Kadam																																			",VIJAYALAKSHMI S
132, Karnataka ,Bangalore Urban											,Vikasa Special School For Mentally Challenged  Run By Vijayanagar Disabled Welfare Association Reg,vikasaspecialschool1997@gmail.com,"
												9th Main, RPC LayoutNear Vishwakarma Temple, Hampinagar, Vijayanagar - 560104   
											", 9632042317 ,"
																																															",L . Yashoda
133, Karnataka ,Bagalkot											,BIJAPUR INTEGRATED RURAL DEVELOPMENT SOCIETY (BIRDS),birdshungund1990@rediffmail.com,"
												437/21, Mahantha NagarWard no-05, Hungund - 587118   
											", 9448117058 ,"
																																															",Mahantesh Agasimundin
134, Karnataka ,Mysore											,AASHIANAA  An Institute for Special Children,aashianaa6@gmail.com,"
												#520,  2nd Stage, OLD MAHADEVPURA EXTENSIONUDAYGIRI, MYSORE - 570019   
											", 9448271109 ,"
																																															",SIRAJ ASGER ALI
135, Karnataka ,Koppal											,Samuha,ns@samuha.org,"
												Samuha Campus, Vithalapur Road, Kanakagiri - 583283   
											", 9448385412 ,"
												Disha												 												Niramaya											",Narayanaswamy M
136, Karnataka ,Dakshina Kannada											,Chetana Child Development Centre Unit of Seva Bharathi,chetanabharathi@gmail.com,"
												13-9-1207/4, V.T.Road, KodailbailNear Venkataramana Temple, Mangalore - 575001   
											", 9036493397 ,"
																																															",P. Vinod Shenoy
137, Karnataka ,Bagalkot											,Ashadeepa Angavikalara Sarva Abhiwruddhi Seva Samsthe,ashadeepa.orgilkal@gmail.com,"
												109, Ward No. 4Shivaji Nagar, ILKAL - 587125   
											", 9986509910 ,"
												Disha																																			",Raghu N Hubballi
138, Karnataka ,Haveri											,Roshni Trust,roshnisac@yahoo.co.in,"
												#, Kumareshwara Nagara, HangalOpp. New Court, Hanagal - 581104   
											", 9945368152 ,"
																																															",Sr.Anitha DSouza
139, Karnataka ,Bangalore Urban											,Welfare Association For Rehabilitation Of Disabled And Society (WARDS),wards.bengaluru@gmail.com,"
												WARDS, C.A.Site No.1,, 10Th Main Road, Jeevan bhima Nagar, New Thippasandra PostNext to HOPCOMS, Bangalore - 560075   
											", 8105676362 ,"
																																															",Mrs. Aruna
140, Karnataka ,Gadag											,Shri B. D. Tatti Memorial Charitable Trust,somanathbdt@gmail.com,"
												No no, Tatti Annavara NagarAgastya Teerth Road, Laxmeshwar - 582116   
											", 9448309994 ,"
												Disha																																			",Somanath Mahajanashettar
"
																								",,,,,,,,
 Page 14 of 55 ( 542 records ) ,,,,,,,,
141, Karnataka ,Mandya											,St. Thomas Mission Society,ashasadan@ymail.com,"
												KL 232 A, Santhome, P.B.No 42, PES Engineering College RoadOpp. Zilla Panchayat, Mandya - 517401   
											", 9448158345 ,"
																								 												Niramaya											",Joseph Cyriac
142, Karnataka ,Bangalore Urban											,GiftAbled Foundation,svastya@giftabled.org,"
												#148, 1st A main East of NGEF layout Kasturi Nagar Bangalore -43New Shanthi Sagar, Bangalore - 560043   
											", 9880494953 ,"
																																															",Prarthana Kaul
143, Karnataka ,Bangalore Urban											,AshaKiran Special Needs School Unit of Asha Kiran Trust,ashakirantrust@gmail.com,"
												HL 212, Esther Gardens,Horamavu - Ramamuthy Nagar Road, Bangalore - 560016   
											", 9341262237 ,"
																																															",Dr. Rita James
144, Karnataka ,Bellary											,Saadhya Trust For Social Development,arathiharish2014@gmail.com,"
												00000, 24th ward, Ballari RoadTMAES ITI College Campus, Near Rosebud School, Hosapete - 583201   
											", 9481160691 ,"
																																															",Arathi K T
145, Kerala ,Pathanamthitta											,Karthika Nair Smarak Samithi,knmrc@rediffmail.com,"
												XII/529, Vallamkulam P.O.Thiruvalla, Pathanamthitta - 689541   
											", 9446116221 ,"
																																															",K.P.Ramesh
146, Kerala ,Thrissur											,SWASRAYA-Special Child Development and Vocational Training centre for Differently Abled,swasraya91@gmail.com,"
												15/207,  Swasraya Special Child Development and Vocational Training Centre for Differently - Abled, P.O KutturNear Neithalakavu Temple, Thrissur - 680013   
											", 9447969795 ,"
																																															",Mrs.Shantha Menon
147, Kerala ,Kollam											,Manovikas School for Mentally Challenged,manovikas@gmail.com,"
												227, Palliserikkal PostSasthamcotta, Kollam - 690521   
											", 9562460802 ,"
												Disha																																			",Shri. D. Jacob
148, Kerala ,Wayanad											,PRERANA SPECIAL  SCHOOL  UNIT OF MANAVASEVA CHARITABLE TRUST,preranaspecialschool199@gmail.com,"
												7, PuliyarmalaPuliyarmala, Kalpetta - 673121   
											", 9495249963 ,"
																																															",M D VENKITTA SUBRAHMANIAN
149, Kerala ,Thrissur											,Social Action Forum Irinjalakuda,socialactionijk@gmail.com,"
												Social Action Forum Irinjalakuda, Cathedral Junction WestIrinjalakuda, Irinjalakuda - 680121   
											", 8547138986 ,"
																																															",Fr. Varghese Paul
150, Kerala ,Kozhikode											,V.K Mohamed Charitable Trust,mail@vkspecialschool.com,"
												19/2026F, 4th Floor,Indus AvenueKallai Road, Kozhikkode - 673002   
											", 9847214957 ,"
																								 												Niramaya											",V.K.MOHAMMED ASHRAF
"
																								",,,,,,,,
 Page 15 of 55 ( 542 records ) ,,,,,,,,
151, Kerala ,Pathanamthitta											,Assisi Centre School For Mentally Challenged,assisicentre2013@gmail.com,"
												420, chunkapparaCHUNKAPPARA, chunkappara - 686547   
											", 9400996799 ,"
																																															",POPPY MATHEW
152, Kerala ,Thiruvananthapuram											,GRAMA JYOTHI NATIONAL INSTITUTE FOR THE DIFFERENTLY ABLED,gramajyothisschool@gmail.com,"
												GRAMA JYOTHI SPECIAL SCHOOL, PAZHAKUTTY P.ONEDUMANGAD, NEDUMANGAD - 695561   
											", 9387814299 ,"
																																															",THOMAS MAMMEN
153, Kerala ,Kottayam											,"SNEHARAM SPECIAL SCHOOL FOR MENTALLY RETARDED, PALA",sneharamss.pala@gmail.com,"
												90, KochidappadyPala East P.O., Pala - 686575   
											", 9142849161 ,"
																																															",Sr.Carmel Geo sms
154, Kerala ,Kottayam											,Asha Nilayam,ashanilayamspl@gmail.com,"
												709, PonkunnamNear Civil Station Ponkunnam, Ponkunnam - 686506   
											", 9446506952 ,"
																								 												Niramaya											",Fr Roy Mathew vadakkel
155, Kerala ,Kozhikode											,Humanity Charitable Trust,humanityindz@gmail.com,"
												23/137A, FareedKannanchery, P.O Kallai,Calicut - 673003   
											", 8137999990 ,"
																								 												Niramaya											",p k m Siraj
156, Kerala ,Ernakulam											,RAKSHA SOCIETY FOR THE CARE OF CHILDREN WITH SPECIAL NEEDS,rakshasocietykochi@gmail.com,"
												VII/370, DARRAGH SALAAM ROADEAST GATE CHEMBITTAPALLY, KOCHI - 682002   
											", 9446039961 ,"
																																															",Mrs.Ragini Menon
157, Kerala ,Kottayam											,JEEVODAYA CENTRE School For Mentally Challenged Children KURUMPANADOM,jeevodayacentre@gmail.com,"
												11/505, KurumpanadomKurumpanadom, Kottayam - 686536   
											", 9562260382 ,"
																																															",MINIMOL SEBASTIAN
158, Kerala ,Kozhikode											,NEST NCCC NIARC Under Koyilandy Palliative Care Society,koyilandypalliativecare@gmail.com,"
												169 J,K,L, NEST Road ,KoyilandyBehind Govt Hospital,Koyilandy, Koyilandy - 673305   
											", 9745126699 ,"
																																															",Abdulla Karuvancherry
159, Kerala ,Thrissur											,SNEHADEEPTHY SPECIAL SCHOOL Run by SNEHADEEPTHY CHARITABLE TRUST,css_snehadeepthy@yahoo.co.in,"
												743/A, 743/2, 743/3, Pattalakunnu, Samaritan SistersMannuthy P.O., Thrissur - 680651   
											", 9497623010 ,"
																																															",Sr.Pushpam CSS
160, Kerala ,Kozhikode											,Amar Jyothi  Special School run by Amar Jyothi Charitable Society,amarjyothisabs@gmail.com,"
												2/264, KorangadAlphonsa English Medium HigherSecondary School, Thamarassery - 673573   
											", 9645381255 ,"
																																															",Tessy
"
																								",,,,,,,,
 Page 16 of 55 ( 542 records ) ,,,,,,,,
161, Kerala ,Pathanamthitta											,SATHYANIKETHAN SPECIAL SCHOOL RUN BY SATHYAM LITERATURE SERVICE,office@sathyam.org,"
												SATHYAM LITERATURE SERVICE, THOTTABHAGOMTHIRUVALLA, THIRUVALLA - 689541   
											", 9446513555 ,"
																																															",CHACKO  VARGHESE
162, Kerala ,Pathanamthitta											,Deepti Vocational Training Centre Run By Deepti Educational And Charitable Foundation,deepticharity@gmail.com,"
												E.V.Road, ChennampallilAdoor, Adoor - 691523   
											", 9400730419 ,"
																																															",Dr.Susan Mathew
163, Kerala ,Ernakulam											,N.Musthafa Sahib memorial M E S Institute for Mentally Challenged  Unit of Muslim Education Society,nmusthafamescharity@gmail.com,"
												VI/399, N.MUSTHAFA SAHIB MEMORIAL M.E.S CHARITABLE COMPLEXEDATHALA NORTH P.O, ALUVA - 683561   
											", 9447458679 ,"
																																															",K.M SHAMSUDDIN
164, Kerala ,Palakkad											,ASHADEEPAM CONVENT SCHOOL FOR MENTALLY CHALLENGED CHILDREN,ashadeepamconventschool@gmail.com,"
												17/421,17/612,, KOONATHARANEAR PLAZA, OTTAPALAM - 679523   
											", 9567677818 ,"
																																															",SR FLORY
165, Kerala ,Ernakulam											,Mithram Charitable Society Special School,mithramsoc@gmail.com,"
												496, Mithram Rehabilitation ComplexKanjirikkapilly, Aarakkunnam, P.O., Dist. - Ernakulam - 682313   
											", 9388467483 ,"
																																															",P.B. George
166, Kerala ,Kottayam											,SOCIETY FOR THE EMPOWERMENT OF THE  LEARNING DISABLED.ST.JOHN OF GOD SPECIAL SCHOOL,seldjohnofgodschool@yahoo.com,"
												314B (Old number 11/270), velloorpampady, kottayam, kottayam - 686501   
											", 8129906050 ,"
																																															",Bro.GEORGE .K .T
167, Kerala ,Palakkad											,Devashrayam Rehabilitation Centre for Mentally Challenged - A Unit of Devashrayam Charitable Society,devashrayam@rediffmail.com,"
												VIII/275, ThekketharaMarutharoad Post, Palakkad - 678007   
											", 9288110000 ,"
																								 												Niramaya											",M N Govind
168, Kerala ,Kasargode											,ROTARY SPECIAL SCHOOL FOR DIFFERENTIALLY ABLE CHILDREN. A UNIT OF ROTARY M.B.M CHARITABLE TRUST,rotaryschool4mr@gmail.com,"
												ROTARY VILLAGE,, ANANDASHRAM PO,KANHANGAD, KASARAGOD, KASARAGOD - 671531   
											", 9895653040 ,"
																								 												Niramaya											",BEENA JOSEPH
169, Kerala ,Kottayam											,Asha Bhavan School And Home For Mentally Challenged,ashabhavan1973@gmail.com,"
												353B, ChanganacherryNear Priest Home, Ithithanam, Changanacherry - 686104   
											", 9496261196 ,"
																								 												Niramaya											",Thressiamma Philip
170, Kerala ,Alappuzha											,Sahrudaya Special School For Mentally Challenged Managed By Pavithra Social Service Society,sahrudayass@gmail.com,"
												186, RamankaryNear St. Joseph Church, Ramankary - 689595   
											", 8301026551 ,"
																								 												Niramaya											",Renju Mathew
"
																								",,,,,,,,
 Page 17 of 55 ( 542 records ) ,,,,,,,,
171, Kerala ,Kottayam											,Sevanikethan Thiruhrudaya Nivas School For Mentally Challenged,thiruhrudayanivas1990@gmail.com,"
												406, KurisumooduNear Parel, Changanacherry - 686104   
											", 9400231060 ,"
																																															",Thresiamma Joseph
172, Kerala ,Kollam											,Ashraya,ashrayapulliyil@gmail.com,"
												ASHRAYA, PULLIYILKILIKOLLOOR .PO, KOLLAM, Kollam, Kerala - 691004   
											", 9446315656 ,"
																								 												Niramaya											",R. VENUGOPALAN NAIR
173, Kerala ,Kozhikode											,"Prasanthi School for Children with Special Needs, run by Navajyothi Charitable Trust",prasanthicalicut@gmail.com,"
												18/302, Prasanthi NagarPantheerankave P O, Kozhikode,Kerala - 673019   
											", 9747395090 ,"
																																															",Er. Vineesh Vidyadharan
174, Kerala ,Alappuzha											,Deepthy School And Home For Mentally Retarded Managed By Deepthy Society,deepthisps@gmail.com,"
												Deepthy Special School, Near Boat Jetty, MuhammaOpposite to St. George Church, Muhamma - 688525   
											", 8281975157 ,"
																																															",Mariamma Chacko
175, Kerala ,Kollam											,Gandhibhavan International Trust,gandhibhavan@gmail.com,"
												621, C/O Gandhibhavan International TrustKundayam.P.O, Pathanapuram, Pathanapuram - 689695   
											", 9605047000 ,"
																																															",Dr.Punalur Somarajan
176, Kerala ,Idukki											,VOSARD - Voluntary Organisation For Social Action And Rural Development,vosard@gmail.com,"
												VIII/506, ValiyakandamKumily, Kerala - 685509   
											", 9447387538 ,"
																								 												Niramaya											",Jose Antony
177, Kerala ,Pathanamthitta											,NJANODAYA SPECIAL SCHOOL FOR INTELLECTUAL DISABILITY Managed By Njanodaya Charitable Society,njanodayaspl@gmail.com,"
												Niranam p.o., KadapraSN HOSPITAL NIRANAM, Niranam - 689621   
											", 9539090069 ,"
																																															",BEENA
178, Kerala ,Thrissur											,Tropical Health Foundation Of India,mail@thfi.in,"
												Tropical Health Foundation of India, Guruvayoor Road, ArthatPO Kunnamkulam, Thrissur - 680503   
											", 9847034161 ,"
																								 												Niramaya											",Dr K Jacob Roy
179, Kerala ,Kozhikode											,Kaarunyatheeram Special School Under Health Care Foundation,mail@healthcarefoundation.in,"
												KARUNYA BHAVAN, POONOORUNNIKULAM (PO), KOZHIKODE - 673574   
											", 9946661089 ,"
																																															",Abdul Shameer Bava CK
180, Madhya Pradesh ,Bhopal											,Jigyasa Samaj Kalyan Sewa Samiti,jskss.bhopal@rediffmail.com,"
												1404/6, Navjeevan ColonyChhola Road, Huzur - 462001   
											", 9303123594 ,"
												Vikaas,Disha																																			",Mukesh Thakur
"
																								",,,,,,,,
 Page 18 of 55 ( 542 records ) ,,,,,,,,
181, Madhya Pradesh ,Bhopal											,MADHURI AAYAAM EDUCATION  AND WELFARE SOCIETY,madhuriaayaam@gmail.com,"
												1414, Berkhedi BazyaftNear Goushala Old Crusher Plant, BHOPAL - 462044   
											", 9424476498 ,"
												Vikaas																																			",VIVA JOSHI
182, Madhya Pradesh ,Jabalpur											,RAJEEV KUMAR SAMAJ KALYAN GRAM VIKESH SHOD SANTHAN,rajurecord@gmail.com,"
												2983, New KanchanpurAadhartal, Jabalpur - 482004   
											", 9329325008 ,"
												Gharaunda,Vikaas,Disha												 												Niramaya											",RAJIV KUMAR RAIKWAR
183, Madhya Pradesh ,Indore											,Shri Shri Utkarsh Samity,ssusindore@gmail.com,"
												301 SNEHDEEP APARTMENT, 38, Narayan BaghIndore(MP), INDORE - 452007   
											", 9303225546 ,"
												Samarth,Vikaas												 												Niramaya											",Priyanka Phadnaik
184, Madhya Pradesh ,Chhindwara											,Gramin Adivasi Samaj Vikas Sansthan,gasvs.sansar2@gmail.com,"
												Ward No. 09, Vivekanad Colony, At Belgaon Post JamsawaliLaxmi nagar Road, Sausar - 480106   
											", 9699734648 ,"
												Badhte Kadam																																			",Adv Ajay Dhawle
185, Madhya Pradesh ,Vidisha											,Rajul viklang palak abhibhavak utthan samiti,rajulvds2010@gmail.com,"
												House No. 1, Bada BazaarArihant Kirana Store, vidisha - 464001   
											", 8889829433 ,"
																																															",Sanjeev Kumar Jain
186, Madhya Pradesh ,Bhopal											,Aadhar Gyan Dhatri Samiti,aadharcentre@gmail.com,"
												E-4/223, Arera ColonyNear 10 no. Market, Bhopal - 462016   
											", 9425374293 ,"
												Disha,Badhte Kadam																																			",Dr Jagmeet Kaur Chawla
187, Madhya Pradesh ,Jabalpur											,Navjyotispecialschoolrun by mahakoshal navjyotisociety,navjyotispecialschool@gmail.com,"
												Plot No.40/02, RimjhaNear st.Aloysious school campus, Jabalpur - 482002   
											", 9575367332 ,"
																																															",Shanti Tirkey
188, Madhya Pradesh ,Bhopal											,Shalom Special School for the Mentally Handicapped Unit of Nirmal Mata Society,shalomsplschool@gmail.com,"
												139, LambakhedaJ.N.C.T.Road, Bhopal - 462009   
											", 7869732650 ,"
																																															",Seena Francis
189, Madhya Pradesh ,Gwalior											,EHSAAS,ananya97in@yahoo.com,"
												3rd Floor Anhantam G192, Patel NagarFront of Green Gardan, GWALIOR - 474009   
											", 9329825578 ,"
																								 												Niramaya											",GEETA DHINGRA
190, Madhya Pradesh ,Narsinghpur											,BRAMHARSHI VASHISHTH SIKSHAN PRASIKSHAN AVAM SEWA SAMITI NARSINGHPUR,anandsobmp@gmail.com,"
												32, NEAR GEETA GUPTA NURSHING HOMEKANDELI NARSINGHPUR, NARSINGHPUR - 487001   
											", 9424645321 ,"
												Gharaunda,Disha,Vikaas												 												Niramaya											",MR. RAKESH SUKLA
"
																								",,,,,,,,
 Page 19 of 55 ( 542 records ) ,,,,,,,,
191, Madhya Pradesh ,Rewa											,Indian Red Cross Society Rewa,redcrossrewa@rediffmail.com,"
												Punarwas bhawan, Civil LineJhiriya, Rewa - 486001   
											", 9425185358 ,"
																																															",Dr H.P.SINGH
192, Madhya Pradesh ,Hoshangabad											,Dr Annie Besant MR Special School run by Dr Annie Besant Memorial Education Institute,directoranniebesantschool@gmail.com,"
												ward no 12, Samarth Parisar Rewa Bhgawati NagarPhase I MalaKhedi road, Hoshangabad - 461001   
											", 7415746992 ,"
												Sahyogi												 												Niramaya											",smt. Aarti dutta
