,S.No.,State,District,Organization Name,Email,Address,Phone No.,Schemes Enrolled,Authorized Person
105,106, Himachal Pradesh ,Mandi,Sakar Society for Differently Abled Persons,sakarsociety@yahoo.in,"Vil- Dohwan,, Sunder NagarMandi, Himachal Pradesh - 175002   ", 9816018605 ,"Disha,Vikaas",Sheetal Sharma
106,107, Himachal Pradesh ,Hamirpur,Pehchan Education Society,pehchan.hmr@gmail.com,"VILL. CHUNAL, JHANIARANEAR CENTRAL SCHOOL, HAMIRPUR - 177001   ", 7018512743 ,,Chetna Sharma
107,108, Himachal Pradesh ,Sirmaur,Aastha Welfare Society,aasthanahan@gmail.com,"Aastha welfare society, PUCCA TANKNear Panchayat Bhawan, Nahan - 173001   ", 9418035001 ,,Rajeev Bhandari
108,109, Himachal Pradesh ,Shimla,Udaan Parents and Guardians Society Of Mentally Challenged Children,udaanhp@gmail.com,"B-16, Sector- 2,,, New ShimlaNear community center, shimla - 171009   ", 9418395095 ,Vikaas,Madhuri Sood
109,110, Himachal Pradesh ,Una,Human Rights Protection Cell and Welfare Association Ashhraya Siddyana Tobba Lower Dehlan Distt Una,ashhraya@gmail.com,"Sadyana Tobba, Dehlan Bedharer RoadCommunity Centre, Lower Dehlan - 174306   ", 9736980666 ,,Suresh Kumar
110,111, Jharkhand ,Ranchi,"Deepshikha, Institute for Child Development and Mental Health(A Unit Of Purshree)",deepshikhainfo@gmail.com,"Arya Samaj Mandir, Swami Shradhanand RoadUpper Bazar Ranchi, Jharkhand - 834001   ", 9334423789 ,Badhte Kadam Niramaya,Sudha Lhila
111,112, Jharkhand ,Dhanbad,Pahela Kadam Special School run by Narayani Charitable Trust,narayanicharitabletrust@gmail.com,"8, Saraidhela RoadNear Saraidhela Police Thana, Dhanbad - 826003   ", 9471162439 , Niramaya,Smt. Anita Agarwal
112,113, Jharkhand ,Deoghar,Srijak Samuh,srijaksamuh@gmail.com,"Srijak Samuh, Williams TownRani Kothi, B. Deoghar,, DEOGHAR - 814112   ", 9431063699 ,,Umashankar Kumar
113,114, Jharkhand ,Hazaribagh,Samajik Samasya Niwaran Ewam Kalyan Sansthan,ssneks@gmail.com,"300, Forest colony, HurhuruNear cemetery gate, Hazaribag - 825301   ", 9431796018 ,,Manish Kumar Sinha
114,115, Jharkhand ,Ranchi,Child Concern,childconcern.jharkhand@gmail.com,"1B, Shubh Gauri Enclave, Budh Vihar Colony,, Argora Bypass, Ashok Nagar, Harmu,  RanchiArgora Bypass, Ranchi - 834002   ", 9472162409 ,Badhte Kadam,Sugandh Narayan Prasad
115,116, Jharkhand ,Ranchi,Jharkhand Parent Association,koshishparent@gmail.com,"H-70, Argora Housing Colony, RanchiNear Argora Chaowk, Ranchi - 834002   ", 9934523571 ,,Deepa Choudhary
116,117, Jharkhand ,Ramgarh,Bhawishya Kiran,jha_sanjeev1972@rediffmail.com,"QNO-B/6, RESCUE BHAWAN COLONY, NAISARAINEAR DAMODER PULL, RAMGARH - 829122   ", 9431535390 ,,Mala Jha
117,118, Jharkhand ,East Singhbhum,Parents Association Of Mentally Handicapped Of Jamshedpur,pamhj361@gmail.com,"Lions Club of Jamshedpur Artificial Limb Fitting Centre(LALFIC), SonariNear Carmel Junior College/Bal Vihar, Jamshedpur - 831011   ", 9431372214 ,Prerna,P Babu Rao
118,119, Jharkhand ,Dhanbad,Jeevan,jeevan_ak@yahoo.co.in,"Jeevan, Bastacolla, GaushallamoreDhansar, Dhanbad, Dhanbad - 828106   ", 9934352294 ,"Vikaas,Samarth,Badhte Kadam,Sahyogi",Anil Kumar Singh
119,120, Karnataka ,Bangalore Urban,Baldwin Opportunity School Of Baldwin Methodist Educational Society,baldwinoppschool@hotmail.com,"No.3,, 3, Rhenius Street, Richmond TownRichmond Town, Bangalore - 560025   ", 9845389740 ,,Sajinie Gnanatheeban
120,121, Karnataka ,Devangere ,Spoorthy Organization for Education and Social Development,spoorthy.hnl@gmail.com,"SPOORTHY, URDU SCHOOLNEAR URDU SCHOOL, NALLUR - 577221   ", 9448976910 ,Disha,K B Roopa Naik
121,122, Karnataka ,Belgaum,Shri Doodnana Vikas Shikshan Sansthe,shridvss@gmail.com,"99, SHIVALINGESHWAR KRUPAMAHALINGESHWAR NAGAR FALLS ROAD, GOKAK - 591307   ", 8095388511 ,,Shrimanth Sadalagi
122,123, Karnataka ,Bangalore Urban,Tamahar Trust,tamahar@gmail.com,"#95,, 6th Main, Between 13th and 15th Cross,Behind Renaissance Regalia, Bangalore - 560003   ", 9845551209 ,,Vaishali B Pai
123,124, Karnataka ,Chikmagalur,Society for Peoples Integrated Development R,ddrcspidckm@gmail.com,".162, Prabhu Street, Near Thogarihucle CercleOPP JOSEPH CHURCH, Chickamagaluru - 577101   ", 9448008417 , Niramaya,Prakash K
124,125, Karnataka ,Bangalore Urban,Karnataka Parents Association for Mentally Retarded Citizens,kpamrc@gmail.com,"12, 3rd cross, 8th Main, Byrasandra Layout, Jayanagar 1st Block East, Bangalore, Byrasandra Main RoadNear NIMHANS, Banglore - 560011   ", 9845462451 ,"Badhte Kadam,Gharaunda Niramaya",K R Venkatesha
125,126, Karnataka ,Bangalore Urban,The Association for the Mentally Challenged,amc.bangalore@gmail.com,"The Association for the mentally Challenged, Near Kidwai Cancer HospitalOff Hosur Road, Bangalore - 560029   ", 9845325100 ,,Ms.Vanishree Manohar
126,127, Karnataka ,Bangalore Urban,Academy for the Severely Handicapped and Autistic Persons Charitable Trust,info@ashaforautism.com,"L-76/A, HBCS 3rd Stage, Kirloskar Colony4th Block, Basaveshwaranagar, Bangalore - 560079   ", 9343764415 ,,Mrs. Jayashree Ramesh
127,128, Karnataka ,Gulbarga,Vinayaka Educational Trust,vinayakaeducationaltrust131@gmail.com,"10-105/4, Sharan Nagar, BrahmpurOPP N.V.School, Gulbarga - 585103   ", 9980817060 ,,Shrimanth Revoor
128,129, Karnataka ,Bangalore Urban,Alfaa (Assisted Living for Autistic Adults),alfaa2010@gmail.com,"Pocket 3, C-506, Vasant Vihar,, Pocket 3, C-506, Vasant Vihar, AWHO Colony,  VidhyanagarBillmarnahalli Main Road,, BANGALORE - 562157   ", 9741418103 ,Badhte Kadam Niramaya,Ruby Singh
129,130, Karnataka ,Bangalore Urban,Shristi Special Academy,shristiblr@gmail.com,"No.20, Jattipalya, Channenahalli 20th KmMagadi Road, Janaseva Vidya Kendra, Banglore - 562130   ", 9900170959 , Niramaya,Suchita Somashekaraiah
130,131, Karnataka ,Chikballapur,Pragna Trust,nagaraj.n.gbd@gmail.com,"03, Bye-pass RoadRAMALINGESHWARA EXTENSION, GOWRIBIDANUR - 561208   ", 9972009412 ,"Disha,Badhte Kadam",Vijayalakshmi S
131,132, Karnataka ,Bangalore Urban,Vikasa Special School for Mentally Challenged run by Vijayanagar Disabled Welfare Association Reg,vikasaspecialschool1997@gmail.com,"9th Main, RPC LayoutNear Vishwakarma Temple, Hampinagar, Vijayanagar - 560104   ", 9632042317 ,,L . Yashoda
132,133, Karnataka ,Bagalkot,Bijapur Integrated Rural Development Society (Birds),birdshungund1990@rediffmail.com,"437/21, Mahantha NagarWard no-05, Hungund - 587118   ", 9448117058 ,,Mahantesh Agasimundin
133,134, Karnataka ,Mysore,Aashianaa an Institute for Special Children,aashianaa6@gmail.com,"#520,  2nd Stage, OLD MAHADEVPURA EXTENSIONUDAYGIRI, MYSORE - 570019   ", 9448271109 ,,Siraj Asger Ali
134,135, Karnataka ,Koppal,Samuha,ns@samuha.org,"Samuha Campus, Vithalapur Road, Kanakagiri - 583283   ", 9448385412 ,Disha Niramaya,Narayanaswamy M
135,136, Karnataka ,Dakshina Kannada,Chetana Child Development Centre Unit Of Seva Bharathi,chetanabharathi@gmail.com,"13-9-1207/4, V.T.Road, KodailbailNear Venkataramana Temple, Mangalore - 575001   ", 9036493397 ,,P. Vinod Shenoy
136,137, Karnataka ,Bagalkot,Ashadeepa Angavikalara Sarva Abhiwruddhi Seva Samsthe,ashadeepa.orgilkal@gmail.com,"109, Ward No. 4Shivaji Nagar, ILKAL - 587125   ", 9986509910 ,Disha,Raghu N Hubballi
137,138, Karnataka ,Haveri,Roshni Trust,roshnisac@yahoo.co.in,"#, Kumareshwara Nagara, HangalOpp. New Court, Hanagal - 581104   ", 9945368152 ,,Sr.Anitha Dsouza
138,139, Karnataka ,Bangalore Urban,Welfare Association for Rehabilitation Of Disabled and Society (Wards),wards.bengaluru@gmail.com,"WARDS, C.A.Site No.1,, 10Th Main Road, Jeevan bhima Nagar, New Thippasandra PostNext to HOPCOMS, Bangalore - 560075   ", 8105676362 ,,Mrs. Aruna
139,140, Karnataka ,Gadag,Shri B. D. Tatti Memorial Charitable Trust,somanathbdt@gmail.com,"No no, Tatti Annavara NagarAgastya Teerth Road, Laxmeshwar - 582116   ", 9448309994 ,Disha,Somanath Mahajanashettar
140,141, Karnataka ,Mandya,St. Thomas Mission Society,ashasadan@ymail.com,"KL 232 A, Santhome, P.B.No 42, PES Engineering College RoadOpp. Zilla Panchayat, Mandya - 517401   ", 9448158345 , Niramaya,Joseph Cyriac
141,142, Karnataka ,Bangalore Urban,Giftabled Foundation,svastya@giftabled.org,"#148, 1st A main East of NGEF layout Kasturi Nagar Bangalore -43New Shanthi Sagar, Bangalore - 560043   ", 9880494953 ,,Prarthana Kaul
142,143, Karnataka ,Bangalore Urban,Ashakiran Special Needs School Unit Of Asha Kiran Trust,ashakirantrust@gmail.com,"HL 212, Esther Gardens,Horamavu - Ramamuthy Nagar Road, Bangalore - 560016   ", 9341262237 ,,Dr. Rita James
143,144, Karnataka ,Bellary,Saadhya Trust for Social Development,arathiharish2014@gmail.com,"00000, 24th ward, Ballari RoadTMAES ITI College Campus, Near Rosebud School, Hosapete - 583201   ", 9481160691 ,,Arathi K T
144,145, Kerala ,Pathanamthitta,Karthika Nair Smarak Samithi,knmrc@rediffmail.com,"XII/529, Vallamkulam P.O.Thiruvalla, Pathanamthitta - 689541   ", 9446116221 ,,K.P.Ramesh
145,146, Kerala ,Thrissur,Swasraya-special Child Development and Vocational Training Centre for Differently Abled,swasraya91@gmail.com,"15/207,  Swasraya Special Child Development and Vocational Training Centre for Differently - Abled, P.O KutturNear Neithalakavu Temple, Thrissur - 680013   ", 9447969795 ,,Mrs.Shantha Menon
146,147, Kerala ,Kollam,Manovikas School for Mentally Challenged,manovikas@gmail.com,"227, Palliserikkal PostSasthamcotta, Kollam - 690521   ", 9562460802 ,Disha,Shri. D. Jacob
147,148, Kerala ,Wayanad,Prerana Special School Unit Of Manavaseva Charitable Trust,preranaspecialschool199@gmail.com,"7, PuliyarmalaPuliyarmala, Kalpetta - 673121   ", 9495249963 ,,M D Venkitta Subrahmanian
148,149, Kerala ,Thrissur,Social Action Forum Irinjalakuda,socialactionijk@gmail.com,"Social Action Forum Irinjalakuda, Cathedral Junction WestIrinjalakuda, Irinjalakuda - 680121   ", 8547138986 ,,Fr. Varghese Paul
149,150, Kerala ,Kozhikode,V.k Mohamed Charitable Trust,mail@vkspecialschool.com,"19/2026F, 4th Floor,Indus AvenueKallai Road, Kozhikkode - 673002   ", 9847214957 , Niramaya,V.K.Mohammed Ashraf
150,151, Kerala ,Pathanamthitta,Assisi Centre School for Mentally Challenged,assisicentre2013@gmail.com,"420, chunkapparaCHUNKAPPARA, chunkappara - 686547   ", 9400996799 ,,Poppy Mathew
151,152, Kerala ,Thiruvananthapuram,Grama Jyothi National Institute for the Differently Abled,gramajyothisschool@gmail.com,"GRAMA JYOTHI SPECIAL SCHOOL, PAZHAKUTTY P.ONEDUMANGAD, NEDUMANGAD - 695561   ", 9387814299 ,,Thomas Mammen
152,153, Kerala ,Kottayam,"Sneharam Special School for Mentally Retarded, Pala",sneharamss.pala@gmail.com,"90, KochidappadyPala East P.O., Pala - 686575   ", 9142849161 ,,Sr.Carmel Geo Sms
153,154, Kerala ,Kottayam,Asha Nilayam,ashanilayamspl@gmail.com,"709, PonkunnamNear Civil Station Ponkunnam, Ponkunnam - 686506   ", 9446506952 , Niramaya,Fr Roy Mathew Vadakkel
154,155, Kerala ,Kozhikode,Humanity Charitable Trust,humanityindz@gmail.com,"23/137A, FareedKannanchery, P.O Kallai,Calicut - 673003   ", 8137999990 , Niramaya,P K M Siraj
155,156, Kerala ,Ernakulam,Raksha Society for the Care Of Children With Special Needs,rakshasocietykochi@gmail.com,"VII/370, DARRAGH SALAAM ROADEAST GATE CHEMBITTAPALLY, KOCHI - 682002   ", 9446039961 ,,Mrs.Ragini Menon
156,157, Kerala ,Kottayam,Jeevodaya Centre School for Mentally Challenged Children Kurumpanadom,jeevodayacentre@gmail.com,"11/505, KurumpanadomKurumpanadom, Kottayam - 686536   ", 9562260382 ,,Minimol Sebastian
157,158, Kerala ,Kozhikode,Nest Nccc Niarc Under Koyilandy Palliative Care Society,koyilandypalliativecare@gmail.com,"169 J,K,L, NEST Road ,KoyilandyBehind Govt Hospital,Koyilandy, Koyilandy - 673305   ", 9745126699 ,,Abdulla Karuvancherry
158,159, Kerala ,Thrissur,Snehadeepthy Special School run by Snehadeepthy Charitable Trust,css_snehadeepthy@yahoo.co.in,"743/A, 743/2, 743/3, Pattalakunnu, Samaritan SistersMannuthy P.O., Thrissur - 680651   ", 9497623010 ,,Sr.Pushpam Css
159,160, Kerala ,Kozhikode,Amar Jyothi Special School run by Amar Jyothi Charitable Society,amarjyothisabs@gmail.com,"2/264, KorangadAlphonsa English Medium HigherSecondary School, Thamarassery - 673573   ", 9645381255 ,,Tessy
160,161, Kerala ,Pathanamthitta,Sathyanikethan Special School run by Sathyam Literature Service,office@sathyam.org,"SATHYAM LITERATURE SERVICE, THOTTABHAGOMTHIRUVALLA, THIRUVALLA - 689541   ", 9446513555 ,,Chacko Varghese
161,162, Kerala ,Pathanamthitta,Deepti Vocational Training Centre run by Deepti Educational and Charitable Foundation,deepticharity@gmail.com,"E.V.Road, ChennampallilAdoor, Adoor - 691523   ", 9400730419 ,,Dr.Susan Mathew
162,163, Kerala ,Ernakulam,N.musthafa Sahib Memorial M E S Institute for Mentally Challenged Unit Of Muslim Education Society,nmusthafamescharity@gmail.com,"VI/399, N.MUSTHAFA SAHIB MEMORIAL M.E.S CHARITABLE COMPLEXEDATHALA NORTH P.O, ALUVA - 683561   ", 9447458679 ,,K.M Shamsuddin
163,164, Kerala ,Palakkad,Ashadeepam Convent School for Mentally Challenged Children,ashadeepamconventschool@gmail.com,"17/421,17/612,, KOONATHARANEAR PLAZA, OTTAPALAM - 679523   ", 9567677818 ,,Sr Flory
164,165, Kerala ,Ernakulam,Mithram Charitable Society Special School,mithramsoc@gmail.com,"496, Mithram Rehabilitation ComplexKanjirikkapilly, Aarakkunnam, P.O., Dist. - Ernakulam - 682313   ", 9388467483 ,,P.B. George
165,166, Kerala ,Kottayam,Society for the Empowerment Of the Learning Disabled.St.John Of God Special School,seldjohnofgodschool@yahoo.com,"314B (Old number 11/270), velloorpampady, kottayam, kottayam - 686501   ", 8129906050 ,,Bro.George .K .T
166,167, Kerala ,Palakkad,Devashrayam Rehabilitation Centre for Mentally Challenged - A Unit Of Devashrayam Charitable Society,devashrayam@rediffmail.com,"VIII/275, ThekketharaMarutharoad Post, Palakkad - 678007   ", 9288110000 , Niramaya,M N Govind
167,168, Kerala ,Kasargode,Rotary Special School for Differentially Able Children. A Unit Of Rotary M.B.M Charitable Trust,rotaryschool4mr@gmail.com,"ROTARY VILLAGE,, ANANDASHRAM PO,KANHANGAD, KASARAGOD, KASARAGOD - 671531   ", 9895653040 , Niramaya,Beena Joseph
168,169, Kerala ,Kottayam,Asha Bhavan School and Home for Mentally Challenged,ashabhavan1973@gmail.com,"353B, ChanganacherryNear Priest Home, Ithithanam, Changanacherry - 686104   ", 9496261196 , Niramaya,Thressiamma Philip
169,170, Kerala ,Alappuzha,Sahrudaya Special School for Mentally Challenged Managed by Pavithra Social Service Society,sahrudayass@gmail.com,"186, RamankaryNear St. Joseph Church, Ramankary - 689595   ", 8301026551 , Niramaya,Renju Mathew
170,171, Kerala ,Kottayam,Sevanikethan Thiruhrudaya Nivas School for Mentally Challenged,thiruhrudayanivas1990@gmail.com,"406, KurisumooduNear Parel, Changanacherry - 686104   ", 9400231060 ,,Thresiamma Joseph
171,172, Kerala ,Kollam,Ashraya,ashrayapulliyil@gmail.com,"ASHRAYA, PULLIYILKILIKOLLOOR .PO, KOLLAM, Kollam, Kerala - 691004   ", 9446315656 , Niramaya,R. Venugopalan Nair
172,173, Kerala ,Kozhikode,"Prasanthi School for Children With Special Needs, run by Navajyothi Charitable Trust",prasanthicalicut@gmail.com,"18/302, Prasanthi NagarPantheerankave P O, Kozhikode,Kerala - 673019   ", 9747395090 ,,Er. Vineesh Vidyadharan
173,174, Kerala ,Alappuzha,Deepthy School and Home for Mentally Retarded Managed by Deepthy Society,deepthisps@gmail.com,"Deepthy Special School, Near Boat Jetty, MuhammaOpposite to St. George Church, Muhamma - 688525   ", 8281975157 ,,Mariamma Chacko
174,175, Kerala ,Kollam,Gandhibhavan International Trust,gandhibhavan@gmail.com,"621, C/O Gandhibhavan International TrustKundayam.P.O, Pathanapuram, Pathanapuram - 689695   ", 9605047000 ,,Dr.Punalur Somarajan
175,176, Kerala ,Idukki,Vosard - Voluntary Organisation for Social Action and Rural Development,vosard@gmail.com,"VIII/506, ValiyakandamKumily, Kerala - 685509   ", 9447387538 , Niramaya,Jose Antony
176,177, Kerala ,Pathanamthitta,Njanodaya Special School for Intellectual Disability Managed by Njanodaya Charitable Society,njanodayaspl@gmail.com,"Niranam p.o., KadapraSN HOSPITAL NIRANAM, Niranam - 689621   ", 9539090069 ,,Beena
177,178, Kerala ,Thrissur,Tropical Health Foundation Of India,mail@thfi.in,"Tropical Health Foundation of India, Guruvayoor Road, ArthatPO Kunnamkulam, Thrissur - 680503   ", 9847034161 , Niramaya,Dr K Jacob Roy
178,179, Kerala ,Kozhikode,Kaarunyatheeram Special School Under Health Care Foundation,mail@healthcarefoundation.in,"KARUNYA BHAVAN, POONOORUNNIKULAM (PO), KOZHIKODE - 673574   ", 9946661089 ,,Abdul Shameer Bava Ck
179,180, Madhya Pradesh ,Bhopal,Jigyasa Samaj Kalyan Sewa Samiti,jskss.bhopal@rediffmail.com,"1404/6, Navjeevan ColonyChhola Road, Huzur - 462001   ", 9303123594 ,"Vikaas,Disha",Mukesh Thakur
180,181, Madhya Pradesh ,Bhopal,Madhuri Aayaam Education and Welfare Society,madhuriaayaam@gmail.com,"1414, Berkhedi BazyaftNear Goushala Old Crusher Plant, BHOPAL - 462044   ", 9424476498 ,Vikaas,Viva Joshi
181,182, Madhya Pradesh ,Jabalpur,Rajeev Kumar Samaj Kalyan Gram Vikesh Shod Santhan,rajurecord@gmail.com,"2983, New KanchanpurAadhartal, Jabalpur - 482004   ", 9329325008 ,"Gharaunda,Vikaas,Disha Niramaya",Rajiv Kumar Raikwar
182,183, Madhya Pradesh ,Indore,Shri Shri Utkarsh Samity,ssusindore@gmail.com,"301 SNEHDEEP APARTMENT, 38, Narayan BaghIndore(MP), INDORE - 452007   ", 9303225546 ,"Samarth,Vikaas Niramaya",Priyanka Phadnaik
183,184, Madhya Pradesh ,Chhindwara,Gramin Adivasi Samaj Vikas Sansthan,gasvs.sansar2@gmail.com,"Ward No. 09, Vivekanad Colony, At Belgaon Post JamsawaliLaxmi nagar Road, Sausar - 480106   ", 9699734648 ,Badhte Kadam,Adv Ajay Dhawle
184,185, Madhya Pradesh ,Vidisha,Rajul Viklang Palak Abhibhavak Utthan Samiti,rajulvds2010@gmail.com,"House No. 1, Bada BazaarArihant Kirana Store, vidisha - 464001   ", 8889829433 ,,Sanjeev Kumar Jain
185,186, Madhya Pradesh ,Bhopal,Aadhar Gyan Dhatri Samiti,aadharcentre@gmail.com,"E-4/223, Arera ColonyNear 10 no. Market, Bhopal - 462016   ", 9425374293 ,"Disha,Badhte Kadam",Dr Jagmeet Kaur Chawla
186,187, Madhya Pradesh ,Jabalpur,Navjyotispecialschoolrun by Mahakoshal Navjyotisociety,navjyotispecialschool@gmail.com,"Plot No.40/02, RimjhaNear st.Aloysious school campus, Jabalpur - 482002   ", 9575367332 ,,Shanti Tirkey
187,188, Madhya Pradesh ,Bhopal,Shalom Special School for the Mentally Handicapped Unit Of Nirmal Mata Society,shalomsplschool@gmail.com,"139, LambakhedaJ.N.C.T.Road, Bhopal - 462009   ", 7869732650 ,,Seena Francis
188,189, Madhya Pradesh ,Gwalior,Ehsaas,ananya97in@yahoo.com,"3rd Floor Anhantam G192, Patel NagarFront of Green Gardan, GWALIOR - 474009   ", 9329825578 , Niramaya,Geeta Dhingra
189,190, Madhya Pradesh ,Narsinghpur,Bramharshi Vashishth Sikshan Prasikshan Avam Sewa Samiti Narsinghpur,anandsobmp@gmail.com,"32, NEAR GEETA GUPTA NURSHING HOMEKANDELI NARSINGHPUR, NARSINGHPUR - 487001   ", 9424645321 ,"Gharaunda,Disha,Vikaas Niramaya",Mr. Rakesh Sukla
190,191, Madhya Pradesh ,Rewa,Indian Red Cross Society Rewa,redcrossrewa@rediffmail.com,"Punarwas bhawan, Civil LineJhiriya, Rewa - 486001   ", 9425185358 ,,Dr H.P.Singh
191,192, Madhya Pradesh ,Hoshangabad,Dr Annie Besant Mr Special School run by Dr Annie Besant Memorial Education Institute,directoranniebesantschool@gmail.com,"ward no 12, Samarth Parisar Rewa Bhgawati NagarPhase I MalaKhedi road, Hoshangabad - 461001   ", 7415746992 ,Sahyogi Niramaya,Smt. Aarti Dutta
192,193, Madhya Pradesh ,Ujjain,Nagda Zenith Social Welfare Society,snehnagda@gmail.com,"3/10, Adarsh Gandhi Gram ColonyNagda Jn, Nagda - 456335   ", 9981582726 ,"Badhte Kadam,Disha,Vikaas,Sahyogi,Prerna Niramaya",Er. Pankaj Maru
193,194, Madhya Pradesh ,Betul,Jainarayan Sarvodaya Vidyalaya Samiti,jaynarayan_btl@rediffmail.com,"24, Village KarajgaonPost Office Rondha, BETUL - 460001   ", 9406535112 ,"Disha,Gharaunda,Vikaas,Badhte Kadam,Sahyogi",Avaneesh Patankar
194,195, Madhya Pradesh ,Datia,Divyang Punarwas Sikchan and Prashichan Sansthan,ambujtiwari110@gmail.com,"WARD-34, BEHIND DATIA STATIONDINARA ROAD DATIA, DATIA - 475661   ", 9424723750 ,,Chanda Tripathi
195,196, Madhya Pradesh ,Ratlam,Sarthi Ratlam run by Lakhdatar Foundation,lakhdatarfoundation@gmail.com,"A-114, Jawahar NagarBehind Ram Mandir, RATLAM - 457001   ", 9981479661 ,,Swati Solanki
196,197, Madhya Pradesh ,Sagar,Life Line Service Society,llss_tip@rediffmail.com,"10, Tili Tigadda Roadbehind of  Post Matric Residential School Behind Tilli Ward Sagar, SAGAR - 470002   ", 9827141504 ,"Badhte Kadam,Disha,Gharaunda,Sahyogi,Vikaas,Samarth",Preeti Yadav
197,198, Madhya Pradesh ,Indore,Nishakt Jan Aadhar Welfare Society,njawsociety@gmail.com,"1-A, SANGAM NAGAR iNDORENEAR SCHEME NO 51POLICE CHOWKI, INDORE - 452006   ", 9977505183 ,Gharaunda Niramaya,Deepak Phadnis
198,199, Madhya Pradesh ,Bhopal,Sos Childrens Villages Khajuri Kalan India,deepak.saxena@soscvindia.org,"PB 27, AMJHARA ROAD, NEAR RAISEN HOSHANGABADBYE PAAS ROAD, KHAJURI KALAN, BHOPAL - 462022   ", 7389924401 ,,Mr Deepak Saxena
199,200, Madhya Pradesh ,Satna,Samudaik Kalyan Samity,SKSSTATE@GMAIL.COM,"629, SATNANEAR KAUSHAL VIKAS KENDRA CIVIL LINE, SATNA - 485001   ", 9174525354 , Niramaya,Shobha Singh
200,201, Madhya Pradesh ,Jabalpur,Justice Tankha Memorial Rotary Institute for Special Children,jabalpur.jtmri@gmail.com,"H. No. 101, PachpediLohiapull, Jabalpur - 482001   ", 9424309352 ,,Baldeep Maini
201,202, Madhya Pradesh ,Jabalpur,"Disable Persons (Mr, Cp, Autism, Md) Parents Association",abhaydubeyjbp@gmail.com,"131, Indrapuri ColonyGwarighat Road, Jabalpur, Jabalpur - 482008   ", 9425150672 , Niramaya,Abhay Kumar Dubey
202,203, Madhya Pradesh ,Singrauli,Adarsh Viklang Seva Sangh,viklangseva@gmail.com,"shop 77 chunkumari stadium, Ward 40 adarsh wardWAIDHAN, SINGRAULI MP - 486886   ", 9424348178 ,"Vikaas,Gharaunda Niramaya",Shailesh Kumar Mishra
203,204, Madhya Pradesh ,Betul,Navodit Gram Utthan Mahila Evam Bal Vikas Samiti,ngumbv@rediffmail.com,"00, Vill  Post BatkidohChopna, Betul - 460440   ", 8889006751 ,"Disha,Gharaunda,Vikaas,Badhte Kadam,Samarth",Shantiranjan Sikdar
204,205, Madhya Pradesh ,Ujjain,Madhya Pradesh Viklang Sahayata Samiti,mpvss10@gmail.com,"51, ChandessaryChandessara, Ujjain - 456664   ", 9425332740 ,"Vikaas,Disha Niramaya",Fr. George
205,206, Madhya Pradesh ,Bhind,Mahila Bal Vikas Samiti,mbvs_45@rediffmail.com,"11/451, VikarampuraBTI Road, Bhind - 477001   ", 9425794650 ,"Disha,Vikaas,Badhte Kadam,Gharaunda Niramaya",Shivbhan Singh Rathour
206,207, Madhya Pradesh ,Rewa,Raj Rani Sewa Evam Shikshan Prashikshan Sansthan and Social Welfare Society,rsespsandsocialwelfare@gmail.com,"34, vill. kashihai post. barihardi ward no. 2 po- Baikunthpur,  Branch offIce-chhatrapati nagar,wtahasil-sirmaur  and teh-hujur, Rewa/  Satna - 486441   ", 8934092201 ,"Disha,Vikaas,Sahyogi,Gharaunda,Badhte Kadam",Sanjay Singh
207,208, Madhya Pradesh ,Indore,Anand Service Society,anandservicesociety@gmail.com,"EK133 scheme No. 54, Vijay NagarNear KK College, Indore - 452010   ", 9425053971 ,,Gyanendra Purohit
208,209, Madhya Pradesh ,Chhindwara,Aadhar Foundation,aadhar.foundation@rediffmail.com,"48 Panchwati Ward, Opp. MP 28 Dhaba,  Parasia RoadPanchwati Ward no 48, Poama,, Chhindwara - 480001   ", 8989173581 ,"Disha,Vikaas,Gharaunda,Sahyogi,Badhte Kadam,Samarth",Er. Mahesh Kinth
209,210, Madhya Pradesh ,Sagar,Anjani Jan Kalyan Sansthan Samiti Bina,anjanijankalyan@gmail.com,"325, Aagasod RoudAugshod roud, Bina - 470113   ", 9981330835 ,Samarth,Nandram Kuswaha
210,211, Madhya Pradesh ,Guna,Man-mental Health Awareness Networking,manspecialschool@rediffmail.com,"B1-B2, GREEN PARK  COLONY, BHULLANPURA BYPASSGuna, Guna - 473001   ", 9827389872 , Niramaya,Sangeeta Singh
211,212, Madhya Pradesh ,Barwani,Ashagram Trust,ashagram_trust@rediffmail.com,"District BarwaniMadhya Pradesh, Barwani - 451551   ", 7693073035 ,,Dr. S.N. Yadav
212,213, Madhya Pradesh ,Sagar,Sarv Shri Maa Narmada Shiksha Avm Jan Kalyan Seva Samiti,ssmnsajkss786@gmail.com,"62, BAZAR WARD DEORINEAR BESIK SCHOOL, DEORI - 470226   ", 9893403841 ,"Gharaunda,Disha,Samarth,Vikaas,Disha",Mayank Dubey
213,214, Madhya Pradesh ,Ujjain,Ujjaini Senior Citizens Forum (Uscf),sewadham24@gmail.com,"104, Durga Plaza, Dewas RoadFreeganj, Ujjain, Ujjain - 456010   ", 9425092505 ,,Sudhir Bhai Goyal
214,215, Madhya Pradesh ,Bhind,Famous Mahila Kalyan Samiti,Fmks.bhind@gmail.com,"48 WARD NO 14, HOUSING COLONY BEHIND KUSUM BAI COLLEGE BHINDBHIND, BHIND - 477001   ", 9575274575 ,,Akbar Khan
